forecast_date,year,state,seat_number,r_prob,r_pct_05,r_avg,r_pct_95
2026-04-19,2026,Georgia,12,0.9554,0.5027626905,0.580629527864,0.6566495809999998
2026-04-19,2026,Georgia,13,0,0.1863589215,0.2600042676748,0.33180841049999993
2026-04-19,2026,Georgia,14,0.9996,0.571440568,0.646029392027,0.719893689
2026-04-19,2026,Hawaii,1,0,0.2395029985,0.313341972965,0.3871674205
2026-04-19,2026,Hawaii,2,1e-4,0.259715743,0.331654905657,0.4049305845
2026-04-19,2026,Idaho,1,1,0.629812265,0.706539447255,0.7833862189999999
2026-04-19,2026,Idaho,2,0.9976,0.5573664810000001,0.634129827553,0.711309998
2026-04-19,2026,Illinois,1,0,0.2347776965,0.308439787452,0.381181736
2026-04-19,2026,Illinois,2,0,0.239538566,0.313146437458,0.3882626405
2026-04-19,2026,Illinois,3,0,0.2335724395,0.306391521193,0.379435659
2026-04-19,2026,Illinois,4,0,0.2496470025,0.324537729835,0.397397386
2026-04-19,2026,Illinois,5,0,0.209364848,0.28362098883,0.3561406335
2026-04-19,2026,Illinois,6,0.0455,0.34976569550000003,0.423633991041,0.498257071
2026-04-19,2026,Illinois,7,0,0.08326582055000001,0.15805981681567,0.23231089199999996
2026-04-19,2026,Illinois,8,0.0739,0.3627333085,0.435783973268,0.5092254654999999
2026-04-19,2026,Illinois,9,0,0.224094923,0.298602422371,0.372411676
2026-04-19,2026,Illinois,10,7e-4,0.2843240835,0.356680745403,0.42988803899999994
2026-04-19,2026,Illinois,11,0.0143,0.328682037,0.401481248961,0.4748051615
2026-04-19,2026,Illinois,12,1,0.6253918500000001,0.701890279861,0.7789118075
2026-04-19,2026,Illinois,13,0.0102,0.324839162,0.397192810148,0.4704396870000001
2026-04-19,2026,Illinois,14,0.039,0.34751970600000004,0.421732973297,0.494502526
2026-04-19,2026,Illinois,15,1,0.6030767459999999,0.67886886484,0.7563069295
2026-04-19,2026,Illinois,16,0.9886,0.5308499305000001,0.606981947791,0.6827072144999998
2026-04-19,2026,Illinois,17,0.0518,0.35334052,0.426361077582,0.5006796379999999
2026-04-19,2026,Indiana,1,0.0885,0.36610726950000005,0.439014367051,0.5123487465
2026-04-19,2026,Indiana,2,0.9971,0.551341559,0.628053558825,0.7043031675
2026-04-19,2026,Indiana,3,0.9992,0.573653337,0.649660743181,0.7261388169999999
2026-04-19,2026,Indiana,4,0.9994,0.56878967,0.644334531732,0.7203802605
