party,margin_diff,seats,prob
dem,0.07999999999999999,51,3e-4
dem,0.07999999999999999,52,1e-4
dem,0.09,40,2e-4
dem,0.09,41,0.0039
dem,0.09,42,0.0188
dem,0.09,43,0.0815
dem,0.09,44,0.185
dem,0.09,45,0.2684
dem,0.09,46,0.2435
dem,0.09,47,0.1397
dem,0.09,48,0.0498
dem,0.09,49,0.008
dem,0.09,50,0.0012
dem,0.1,39,1e-4
dem,0.1,40,0.0011
dem,0.1,41,0.0063
dem,0.1,42,0.0384
dem,0.1,43,0.1245
dem,0.1,44,0.2374
dem,0.1,45,0.2756
dem,0.1,46,0.1984
dem,0.1,47,0.0918
dem,0.1,48,0.0227
dem,0.1,49,0.0034
dem,0.1,50,3e-4
ind,-0.1,0,0.2518
ind,-0.1,1,0.7482
ind,-0.09000000000000001,0,0.3155
ind,-0.09000000000000001,1,0.6845
ind,-0.08,0,0.3909
ind,-0.08,1,0.6091
ind,-0.07,0,0.4885
ind,-0.07,1,0.5115
ind,-0.060000000000000005,0,0.5543
ind,-0.060000000000000005,1,0.4457
ind,-0.05,0,0.6436
ind,-0.05,1,0.3564
ind,-0.04000000000000001,0,0.7025
ind,-0.04000000000000001,1,0.2975
ind,-0.03,0,0.7641
ind,-0.03,1,0.2359
ind,-0.020000000000000004,0,0.8359
ind,-0.020000000000000004,1,0.1641
ind,-0.010000000000000009,0,0.8737
ind,-0.010000000000000009,1,0.1263
ind,0,0,0.9084
ind,0,1,0.0916
ind,0.009999999999999995,0,0.9368
ind,0.009999999999999995,1,0.0632
ind,0.01999999999999999,0,0.9593
ind,0.01999999999999999,1,0.0407
ind,0.03,0,0.9702
ind,0.03,1,0.0298
ind,0.04000000000000001,0,0.9796
ind,0.04000000000000001,1,0.0204
ind,0.04999999999999999,0,0.9855
ind,0.04999999999999999,1,0.0145
ind,0.06,0,0.992
ind,0.06,1,0.008
ind,0.07,0,0.9954
ind,0.07,1,0.0046
ind,0.07999999999999999,0,0.9965
ind,0.07999999999999999,1,0.0035
ind,0.09,0,0.9978
ind,0.09,1,0.0022
ind,0.1,0,0.9995
ind,0.1,1,5e-4
