r_seats,margin_diff,prob
221,0.07,0.0068
222,0.07,0.0095
223,0.07,0.016
224,0.07,0.0369
225,0.07,0.0494
226,0.07,0.0667
227,0.07,0.094
228,0.07,0.1112
229,0.07,0.1206
230,0.07,0.1142
231,0.07,0.1091
232,0.07,0.0858
233,0.07,0.0639
234,0.07,0.0483
235,0.07,0.0279
236,0.07,0.0176
237,0.07,0.0098
238,0.07,0.0053
239,0.07,0.0018
240,0.07,0.0012
241,0.07,4e-4
219,0.07999999999999999,1e-4
220,0.07999999999999999,4e-4
221,0.07999999999999999,0.0015
222,0.07999999999999999,0.0037
223,0.07999999999999999,0.0051
224,0.07999999999999999,0.0104
225,0.07999999999999999,0.0198
226,0.07999999999999999,0.0363
227,0.07999999999999999,0.0491
228,0.07999999999999999,0.0735
229,0.07999999999999999,0.0963
230,0.07999999999999999,0.1135
231,0.07999999999999999,0.1232
232,0.07999999999999999,0.1192
233,0.07999999999999999,0.1043
234,0.07999999999999999,0.0863
235,0.07999999999999999,0.0599
236,0.07999999999999999,0.0427
237,0.07999999999999999,0.0243
238,0.07999999999999999,0.0153
239,0.07999999999999999,0.0086
240,0.07999999999999999,0.0043
241,0.07999999999999999,0.0015
242,0.07999999999999999,6e-4
244,0.07999999999999999,1e-4
221,0.09,1e-4
222,0.09,5e-4
223,0.09,0.0017
224,0.09,0.0043
225,0.09,0.0072
226,0.09,0.0144
227,0.09,0.0225
228,0.09,0.0391
229,0.09,0.0611
230,0.09,0.0778
231,0.09,0.099
232,0.09,0.1129
233,0.09,0.1219
234,0.09,0.1126
235,0.09,0.1022
236,0.09,0.0771
237,0.09,0.0563
238,0.09,0.0376
239,0.09,0.0223
240,0.09,0.0156
241,0.09,0.0063
242,0.09,0.0039
243,0.09,0.002
244,0.09,7e-4
245,0.09,4e-4
246,0.09,4e-4
247,0.09,1e-4
221,0.1,1e-4
223,0.1,3e-4
224,0.1,6e-4
225,0.1,0.0023
226,0.1,0.0039
227,0.1,0.0073
228,0.1,0.0167
229,0.1,0.0251
230,0.1,0.0448
231,0.1,0.063
232,0.1,0.0907
233,0.1,0.0993
234,0.1,0.1206
235,0.1,0.1155
236,0.1,0.1123
237,0.1,0.0904
238,0.1,0.0717
239,0.1,0.0545
240,0.1,0.0364
241,0.1,0.021
242,0.1,0.0108
243,0.1,0.0067
244,0.1,0.004
245,0.1,0.0011
246,0.1,6e-4
247,0.1,3e-4
